Winner,Country,Lat,Lon
Djokovic N.,Serbia,44.0,20.9
Nadal R.,Spain,40.0,-3.7
Federer R.,Switzerland,46.8,8.2
Alcaraz C.,Spain,40.0,-3.7
Sinner J.,Italy,42.8,12.6
Agassi A.,United States,39.5,-98.5
Sampras P.,United States,39.5,-98.5
Roddick A.,United States,39.5,-98.5
Murray A.,United Kingdom,54.0,-2.0
Wawrinka S.,Switzerland,46.8,8.2
Safin M.,Russia,55.7,37.6
Medvedev D.,Russia,55.7,37.6
Hewitt L.,Australia,-25.5,134.0
Kuerten G.,Brazil,-10.0,-52.0
Cilic M.,Croatia,45.1,15.2
Ivanisevic G.,Croatia,45.1,15.2
Costa A.,Spain,40.0,-3.7
Ferrero J.C.,Spain,40.0,-3.7
Del Potro J.M.,Argentina,-34.0,-64.0
Gaudio G.,Argentina,-34.0,-64.0
Johansson T.,Sweden,62.0,15.0
Thiem D.,Austria,47.5,14.5
Zverev A.,Germany,51.0,10.4
