Tournament,Date,Series,Court,Surface,Round,Best of,Player_1,Player_2,Winner
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Arthurs W.,Gambill J.M.,Gambill J.M.
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Balcells J.,Henman T.,Henman T.
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Clement A.,Enqvist T.,Enqvist T.
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Dosedel S.,Ljubicic I.,Dosedel S.
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Draper S.,Norman M.,Norman M.
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Escude N.,Baccanello P.,Escude N.
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Fromberg R.,Woodbridge T.,Fromberg R.
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Goldstein P.,Vinck C.,Vinck C.
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Grosjean S.,Ilie A.,Grosjean S.
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Hewitt L.,Woodforde M.,Hewitt L.
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Knippschild J.,Federer R.,Federer R.
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Martin A.,Spadea V.,Martin A.
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Petrovic D.,Huet S.,Petrovic D.
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Pozzi G.,Sekulov J.,Sekulov J.
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Stoltenberg J.,Hrbaty D.,Stoltenberg J.
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Tebbutt M.,Lisnard J.,Lisnard J.
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,2nd Round,3,Dosedel S.,Escude N.,Escude N.
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,2nd Round,3,Enqvist T.,Federer R.,Enqvist T.
